"H1"||"H"||1||0|||20|||||0|0|0|10|18|25|35|57.5|80|30|52.5|75|20|42.5|65|10|25|40||66.5|||6|||13|||15.7|||19.6|||12.2|||29.5||||||||1|4|7||||2|4|6||||1.1|1.25|1.4|||||1.34|||42.343|91.7432|141.1433|0.09|0.11|0.12|||||10.3|||4.3|||30||0|1.5|2.9|0|5|10|0|1|2||||".20"|".24"|0|0|0|0|0|0||||||||||10|17.5|25||||3.6|4.8|6|||||||||||||||||||||||||||||||||"14203091"|"40856851"
"H2"||"H"||2||20|||23|||||0|1|1|5|13|20|30|55|80|25|50|75|20|40|60|5|20|35||66.6|||17.2|||15.7|||12.3|||12.9|||8.5|||29.9||||||||0|3.5|7||||0.5|1.25|2||||1.15|1.3|1.45|||||1.4|||42.343|91.7432|141.1433|0.05|0.09|0.12|||||7.4|||2.1|||29||0|1.5|2.9|0|5|10|0|1|2||||".24"|".24"|0|0|0|0|0|0||||||||||15|27.5|40||||3.6|4.8|6|||||||||||||||||||||||||||||||||"14203091"|"40856852"
"H3"||"H"||3||23|||56|||||0|1|1|5|13|20|30|55|80|25|50|75|20|35|50|2|11|20||80.7|||0|||2|||13.1|||40|||25.6|||16.8||||||||0|2.5|5||||0|0.25|0.5||||1.25|1.4|1.55|||||1.51|||42.343|91.7432|141.1433|0.02|0.04|0.05||9|||5.5|||1.1|||26||0|1.5|2.9||||0|0|0||||".15"|".17"|0|0|0|0|0|0||||||||||5|17.5|30||||3.6|4.8|6|||||||||||||||||||||||||||||||||"14203091"|"40856853"
"H4"||"H"||4||56|||183|||||0|1|1|10|28|45|20|37.5|55|15|32.5|50|10|20|30|0|2.5|5||81.3|||4|||13.1|||21.1|||27.6|||15.5|||17.2||||||||0|1.5|3||||||||||1.45|1.55|1.65|||||1.76|||141.1433|141.1433|141.1433|0.01|0.02|0.02|||||||||||||0|1.5|2.9||||0|0|0||||".10"|".17"|0|0|0|0|0|0||||||||||||||||4.5|5.5|6.5|||||||||||||||||||||||||||||||||"14203091"|"40856854"
"H1"||"H"||1||0|||48|||||0|0|0|0|0|0|95|97.5|100|90|95|100|50|67.5|85|5|25|45||80.2|||3.7|||12.8|||20.9|||27.4|||15.4|||16.8||||||||1|3|5||||3|5|7||||1.2|1.35|1.5|||||1.41|||14.1143|28.2287|42.343|0.05|0.07|0.09||22.5|||17.7|||8.3|||43||0|1.5|2.9||||0|0|0||||".17"|".17"||||0|0|0|||||||||||6|||||3.6|4.6|5.5|||||||||||||||||||||||||||||||||"14203094"|"40856862"
"H2"||"H"||2||48|||104|||||0|0|0|0|0|0|95|97.5|100|90|95|100|45|65|85|5|20|35||80.3|||0|||2|||13.1|||39.8|||25.4|||16.7||||||||1|3|5||||||||||1.2|1.35|1.5|||||1.41|||42.343|91.7432|141.1433|0.06|0.07|0.08|||||||||||||0|1.5|2.9||||0|0|0||||".17"|".17"||||0|0|0||||||||||||||||3.6|4.6|5.5|||||||||||||||||||||||||||||||||"14203094"|"40856863"
"H3"||"H"||3||104|||178||||||||0|0|0|95|97.5|100|90|95|100|45|62.5|80|5|20|35||90.6|||17.8|||30|||22|||15.3|||5.5|||6.4||||||||1|3|5||||||||||1.45|1.55|1.65|||||1.62|||42.343|91.7432|141.1433|0.04|0.05|0.06|||||||||||||0|1.5|2.9||||0|0|0||||".17"|".17"||||0|0|0||||||||||||||||4.5|5.5|6.5|||||||||||||||||||||||||||||||||"14203094"|"40856864"
"H1"||"H"||1||0|||23|||||0|0|0|0|0|0|85|92.5|100|75|87.5|100|45|65|85|25|40|55||64.3|||4.7|||3.1|||14.2|||25.2|||17.1|||30.7||||||||1|5|9||||4|6|8||||1.1|1.25|1.4|||||1.31|||4.2343|23.2887|42.343|0.12|0.18|0.24|||||18.5|||9.5|||45||0|1.5|2.9|15|20|25|0|2|4||||".24"|".24"|||||||||||||0.6|2.8|5|||||||4.5|5.9|7.3|||||||||||||||||||||||||||||||||"14203090"|"40856848"
"H2"||"H"||2||23|||76|||||0|0|0|0|0|0|85|92.5|100|75|87.5|100|45|70|95|25|50|75||64.3|||4.7|||3.1|||14.2|||25.2|||17.1|||30.7||||||||1|5|9||||0|1|2||||1.15|1.3|1.45|||||1.36|||4.2343|23.2887|42.343|0.12|0.17|0.22|||||12.4|||3.9|||45||0|1.5|2.9|15|15|15|0|2|4||||".37"|".37"|||||||||||||0.5|2.7|4.9|||||||4.5|5.9|7.3|||||||||||||||||||||||||||||||||"14203090"|"40856849"
"H3"||"H"||3||76|||165|||||0|0|0|0|0|0|70|85|100|45|72.5|100|25|50|75|0|12.5|25||||||||||||||||||||||||||||0|1.5|3||||0|0.5|1||||1.3|1.4|1.5|||||1.48|||42.343|91.7432|141.1433|0.04|0.09|0.13||9.5|||5.9|||1.3|||37||0|1.5|2.9||||0|0|0||||".20"|".24"|||||||||||||0|0.8|1.6|||||||4.5|5.9|7.3|||||||||||||||||||||||||||||||||"14203090"|"40856850"
"H1"||"H"||1||0|||48|||||0|0|0|0|0|0|95|97.5|100|90|95|100|55|70|85|30|40|50||71.1|||0.3|||4.9|||15.8|||30.9|||19.2|||22.4||||||||3|6.5|10||||3|5|7||||1.2|1.35|1.5|||||1.41|||14.1143|28.2287|42.343|0.14|0.15|0.16|||||19.5|||10.2|||43||0|1.5|2.9||||0|0|0||||".28"|".28"||||0|0|0|||||||||||7.5|||||3.6|4.6|5.5|||||||||||||||||||||||||||||||||"14203093"|"40856859"
"H2"||"H"||2||48|||104|||||0|0|0|0|0|0|95|97.5|100|90|95|100|45|65|85|5|20|35||80.3|||0|||2|||13.1|||39.8|||25.4|||16.7||||||||1|3|5||||||||||1.2|1.35|1.5|||||1.41|||42.343|91.7432|141.1433|0.06|0.07|0.08|||||||||||||0|1.5|2.9||||0|0|0||||".17"|".17"||||0|0|0||||||||||||||||3.6|4.6|5.5|||||||||||||||||||||||||||||||||"14203093"|"40856860"
"H3"||"H"||3||104|||178||||||||0|0|0|95|97.5|100|90|95|100|45|62.5|80|5|20|35||90.6|||17.8|||30|||22|||15.3|||5.5|||6.4||||||||1|3|5||||||||||1.45|1.55|1.65|||||1.62|||42.343|91.7432|141.1433|0.04|0.05|0.06|||||||||||||0|1.5|2.9||||0|0|0||||".17"|".17"||||0|0|0||||||||||||||||4.5|5.5|6.5|||||||||||||||||||||||||||||||||"14203093"|"40856861"
"H1"||"H"||1||0|||3|||||1|3|5|5|18|30|60|77.5|95|50|70|90|30|55|80|15|30|45||66.5|||6|||13|||15.7|||19.6|||12.2|||29.5||||||||2|4|6||||0|1|2||||0.85|1.03|1.2|||||1.09|||14.1143|77.6288|141.1433|0.07|0.11|0.15|||||8.3|||2.1|||44||0|1.5|2.9|15|27.5|40|0|5|10||||".10"|".17"|||||||||||||||||3.9|||||3.6|4.6|5.5|||||||||||||||||||||||||||||||||"14203082"|"40856820"
