"not used"|"14203080"|"9815357"
"not used"|"14203081"|"9815358"
"not used"|"14203082"|"9815359"
"not used"|"14203083"|"9815360"
"not used"|"14203084"|"9815361"
"not used"|"14203085"|"9815362"
"not used"|"14203086"|"9815363"
"not used"|"14203087"|"9815364"
"not used"|"14203088"|"9815365"
"not used"|"14203089"|"9815366"
"not used"|"14203090"|"9815367"
"not used"|"14203091"|"9815368"
"shallow"|"14203092"|"9815369"
"ortstein"|"14203092"|"9815370"
"not used"|"14203093"|"9815371"
"not used"|"14203094"|"9815372"
"not used"|"14203095"|"9815373"
"not used"|"14203096"|"9815374"
"not used"|"14203097"|"9815375"
"not used"|"14203098"|"9815376"
"not used"|"14203100"|"9815377"
"not used"|"14203101"|"9815378"
"not used"|"14203102"|"9815379"
"not used"|"14203103"|"9815380"
"not used"|"14203104"|"9815381"
"not used"|"14203105"|"9815382"
"not used"|"14203106"|"9815383"
"not used"|"14203107"|"9815384"
"not used"|"14203108"|"9815385"
"not used"|"14203109"|"9815386"
"not used"|"14203110"|"9815387"
"not used"|"14203111"|"9815388"
"not used"|"14203112"|"9815389"
"not used"|"14203113"|"9815390"
"not used"|"14203114"|"9815391"
"shallow"|"14203115"|"9815392"
"not used"|"14203116"|"9815393"
"not used"|"14203117"|"9815394"
"not used"|"14203118"|"9815395"
"not used"|"14203119"|"9815396"
"shallow"|"14203120"|"9815397"
"not used"|"14203121"|"9815398"
"not used"|"14203122"|"9815399"
"not used"|"14203123"|"9815400"
"not used"|"14203124"|"9815401"
"not used"|"14203125"|"9815402"
"not used"|"14203126"|"9815403"
"not used"|"14203127"|"9815404"
"not used"|"14203128"|"9815405"
"not used"|"14203129"|"9815406"
"not used"|"14203130"|"9815407"
"shallow"|"14203131"|"9815408"
"shallow"|"14203132"|"9815409"
"shallow"|"14203133"|"9815410"
"not used"|"14203134"|"9815411"
"shallow"|"14203135"|"9815412"
"shallow"|"14203136"|"9815413"
"not used"|"14203137"|"9815414"
"shallow"|"14203138"|"9815415"
"shallow"|"14203139"|"9815416"
"not used"|"14203140"|"9815417"
"not used"|"14203141"|"9815418"
"not used"|"14203142"|"9815419"
"not used"|"14203143"|"9815420"
"not used"|"14203144"|"9815421"
"not used"|"14203145"|"9815422"
"shallow"|"14203146"|"9815423"
"not used"|"14203147"|"9815424"
"not used"|"14203148"|"9815425"
"not used"|"14203149"|"9815426"
"shallow"|"14203150"|"9815427"
"not used"|"14203151"|"9815428"
"not used"|"14203152"|"9815429"
"not used"|"14203153"|"9815430"
"not used"|"14203154"|"9815431"
"shallow"|"14203155"|"9815432"
"not used"|"14203156"|"9815433"
"not used"|"14203157"|"9815434"
"not used"|"14203158"|"9815435"
"not used"|"14203159"|"9815436"
"not used"|"14203160"|"9815437"
"not used"|"14203161"|"9815438"
"not used"|"14203162"|"9815439"
"not used"|"14203163"|"9815440"
"not used"|"14203164"|"9815441"
"not used"|"14203165"|"9815442"
"not used"|"14203166"|"9815443"
"not used"|"14203167"|"9815444"
"shallow"|"14203168"|"9815445"
"shallow"|"14203169"|"9815446"
"not used"|"14203170"|"9815447"
"not used"|"14203171"|"9815448"
"not used"|"14203172"|"9815449"
"not used"|"14203173"|"9815450"
"not used"|"14203174"|"9815451"
"not used"|"14203175"|"9815452"
"not used"|"14203176"|"9815453"
"not used"|"14203177"|"9815454"
"not used"|"14203178"|"9815455"
"shallow"|"14203179"|"9815456"
"not used"|"14203180"|"9815457"
"not used"|"14203181"|"9815458"
"shallow"|"14203182"|"9815459"
"not used"|"14203183"|"9815460"
