SPCD,COMMON_NAME,SCI_NAME
10,fir spp. ,Abies spp
11,Pacific silver fir,Abies amabilis
12,balsam fir ,Abies balsamea
14,Santa Lucia or bristlecone fir,Abies bracteata
15,white fir ,Abies concolor
16,Fraser fir,Abies fraseri
17,grand fir ,Abies grandis
18,corkbark fir,Abies lasiocarpa var. arizonica
19,subalpine fir,Abies lasiocarpa
20,California red fir,Abies magnifica
21,Shasta red fir,Abies shastensis
22,noble fir,Abies procera
40,white-cedar spp.,Chamaecyparis spp.
41,Port-Orford-cedar,Chamaecyparis lawsoniana
42,Alaska yellow-cedar,Chamaecyparis nootkatensis
43,Atlantic white-cedar,Chamaecyparis thyoides
50,cypress,Cupressus spp.
51,Arizona cypress,Cupressus arizonica
52,Baker or Modoc cypress,Cupressus bakeri
53,Tecate cypress,Cupressus forbesii
54,Monterey cypress,Cupressus macrocarpa
55,Sargent's cypress,Cupressus sargentii
56,MacNab's cypress,Cupressus macnabiana
57,redcedar/juniper spp.,Juniperus spp.
58,Pinchot juniper,Juniperus pinchotii
59,redberry juniper,Juniperus coahuilensis
60,drooping juniper,Juniperus flaccida
61,Ashe juniper,Juniperus ashei
62,California juniper,Juniperus californica
63,alligator juniper,Juniperus deppeana
64,western juniper,Juniperus occidentalis
65,Utah juniper,Juniperus osteosperma
66,Rocky Mountain juniper,Juniperus scopulorum
67,southern redcedar,Juniperus virginiana var. silicicola
68,eastern redcedar,Juniperus virginiana
69,oneseed juniper,Juniperus monosperma
70,larch spp.,Larix spp.
71,tamarack (native),Larix laricina
72,subalpine larch,Larix lyallii
73,western larch,Larix occidentalis
81,incense-cedar,Calocedrus decurrens
90,spruce spp.,Picea spp.
91,Norway spruce,Picea abies
92,Brewer spruce,Picea breweriana
93,Engelmann spruce,Picea engelmannii
94,white spruce,Picea glauca
95,black spruce,Picea mariana
96,blue spruce,Picea pungens
97,red spruce,Picea rubens
98,Sitka spruce,Picea sitchensis
100,pine spp.,Pinus spp.
101,whitebark pine,Pinus albicaulis
102,Rocky Mountain bristlecone pine,Pinus aristata
103,knobcone pine,Pinus attenuata
104,foxtail pine,Pinus balfouriana
105,jack pine,Pinus banksiana
106,common or two-needle pinyon,Pinus edulis
107,sand pine,Pinus clausa
108,lodgepole pine,Pinus contorta
109,Coulter pine,Pinus coulteri
110,shortleaf pine,Pinus echinata
111,slash pine,Pinus elliottii
112,Apache pine,Pinus engelmannii
113,limber pine,Pinus flexilis
114,southwestern white pine,Pinus strobiformis
115,spruce pine,Pinus glabra
116,Jeffrey pine,Pinus jeffreyi
117,sugar pine,Pinus lambertiana
118,Chihuahuan pine,Pinus leiophylla
