JobNumber,StandName,CruiseLine,PointID,TreeNumber,SpeciesCode,DBH,LevelCode,ProductCodes,TopDiameter,Height,Height_Merch,Height_LCB,Height_DBH,Height_BadTop,Repetitions,LegacyTree,TreeAzimuth,TreeDistance,TreeNotes,LTSMissing_Top,LTSMissing_Mid,LTSMissing_Bot,SnagSoundnessCode,DecompCode,MooseBarkStripping,CoreRingsEstimated,CoreRingsRecent,CoreRingsTotal,Cut,Vigor,Form,TotalAge,VolumeCF,VolumeBF,BasalArea,TreesPerAcre,VBAR,VBAR_BF,LCR,TreeUsr_1,TreeUsr_2,TreeUsr_3,TreeUsr_4
506,01 Densely Stock Young Hardwood,,801,1,HM,8,U,5555,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,801,2,HM,10,A,53555,5,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,801,3,HM,11,A,23655,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,801,4,HM,11,A,22555,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,801,5,HM,2,A,,2,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,801,6,HM,11,A,2365,8,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,802,1,BE,9,U,55,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,802,2,BE,6,A,66,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,802,3,BE,8,U,555,5,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,802,4,BE,2,U,,2,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,802,5,BE,3,U,,3,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,802,6,BE,5,U,,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,802,7,HM,11,A,23555,6,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,802,8,BE,6,A,65,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,802,9,BE,4,A,,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,802,10,YB,27,U,77777,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,802,11,HM,13,A,533555,6,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,821,1,HM,10,A,335,7,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,821,2,YB,8,U,555,6,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,821,3,HM,13,U,5555,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,822,1,YB,11,A,54555,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,822,2,YB,12,A,223555,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,822,3,HM,8,U,555,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,822,4,YB,8,A,45,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,822,5,HM,8,U,555,5,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,822,6,HM,12,A,255555,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,822,7,HM,4,A,,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,822,8,HM,8,A,665,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,822,9,YB,15,U,77,14,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,822,10,HM,31,A,77555555,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,822,11,YB,13,A,235555,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,905,1,BF,8,A,2222,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,905,2,YB,18,U,55555,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,905,3,WB,8,A,4665,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,905,4,YB,14,U,55555,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,905,5,RM,16,A,523555,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,905,6,RM,12,A,22355,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,905,7,WB,8,A,4665,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,905,8,YB,15,U,555,9,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,905,9,SP,5,U,,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,905,10,WB,6,A,666,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,905,11,BF,7,U,555,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,905,12,RM,12,A,2233,9,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,905,13,RM,11,A,23555,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,905,14,RM,11,A,223555,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,905,15,WB,6,U,55,5,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,905,16,BF,7,A,666,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,905,17,WB,5,A,,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,905,18,WB,6,A,665,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,905,19,RM,10,A,336655,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,905,20,WB,7,A,66,6,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,905,21,RM,9,U,5555,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,905,22,RM,10,A,35555,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,906,1,YB,5,A,,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,906,2,BE,12,U,5555,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,906,3,HM,4,A,,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,906,4,BE,2,A,,2,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,906,5,YB,6,A,66,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,906,6,YB,6,A,65,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,906,7,SP,9,A,222222,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,906,8,YB,22,A,255555,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,906,9,HM,4,A,,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,906,10,HM,4,A,,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,906,11,HM,3,A,,3,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,906,12,BF,10,A,22225,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,906,13,BF,5,A,,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,906,14,WB,4,A,,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,906,15,BE,8,U,555,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,906,16,BE,10,A,355,5,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,907,1,YB,15,U,55,13,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,907,2,BE,7,U,55,6,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,907,3,SP,6,A,66,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,907,4,WB,4,A,,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,907,5,WB,3,A,,3,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,907,6,YB,14,U,555,6,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,907,7,BE,4,U,,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,908,1,HM,2,A,,2,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,908,2,YB,4,A,,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,908,3,HM,5,A,,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,908,4,OH,4,U,,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,908,5,HM,7,U,55,5,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,908,6,OH,3,U,,3,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,908,7,OH,3,U,,3,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,1308,1,SP,3,A,,3,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,1308,2,BF,5,U,,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,1308,3,BF,8,U,222,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,1308,4,YB,2,U,,2,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,1309,1,HM,5,U,,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,1309,2,HM,6,U,55,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,1309,3,HM,6,U,55,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,1309,4,HM,6,U,55,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,1310,1,WB,3,A,,3,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,1310,2,WB,4,U,,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,1310,3,WB,4,A,,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,1310,4,OH,6,U,5,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,1310,5,WB,5,A,,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,1310,6,YB,3,A,,3,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,1310,7,OH,3,U,,3,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,1310,8,OH,4,U,,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,1310,9,YB,17,U,55235,8,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,1310,10,YB,12,U,53355,7,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,1310,11,OH,3,U,,3,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,1310,12,OH,3,U,,3,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,1311,1,RM,5,U,,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,1311,2,WB,2,U,,2,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,1311,3,WB,2,A,,2,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,1312,1,WB,4,U,,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,1312,2,RM,2,A,,2,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,1312,3,SP,3,A,,3,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,1312,4,RM,2,U,,2,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,1312,5,PO,4,U,,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
506,01 Densely Stock Young Hardwood,,1312,6,SP,4,A,,4,,,,,,1,FALSE,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,
