"Fine sandy loam"||"80858711"|"82284680"
"Loam"||"80860064"|"82286039"
"Silt loam"||"80858186"|"82284155"
"Fine sandy loam"||"80860634"|"82286610"
"Sandy loam"||"80857299"|"82283263"
"Fine sandy loam"||"80855734"|"82281694"
"Silt loam"||"80859810"|"82285785"
"Loamy fine sand"||"80856172"|"82282133"
"Silt loam"||"80856508"|"82282469"
"Silty clay loam"||"80861457"|"82287437"
"Fine sandy loam"||"80858924"|"82284893"
"Fine sandy loam"||"80858855"|"82284824"
"Fine sandy loam"||"80857458"|"82283426"
"Fine sandy loam"||"80860801"|"82286778"
"Loam"||"80856970"|"82282934"
"Fine sandy loam"||"80859199"|"82285169"
"Loamy sand"||"80855527"|"82281487"
"Silt loam"||"80857183"|"82283147"
"Loam"||"80858434"|"82284403"
"Silt loam"||"80924317"|"82351652"
"Silt loam"||"80861762"|"82287742"
"Sand"||"80860386"|"82286362"
"Silt loam"||"80855366"|"82281326"
"Sand"||"80922877"|"82350206"
|"Unweathered bedrock"|"80855854"|"82281814"
"Silt loam"||"80855717"|"82281677"
"Loam"||"80860051"|"82286026"
"Coarse sand"||"80857277"|"82283241"
"Fine sandy loam"||"80861155"|"82287133"
"Sand"||"80860570"|"82286546"
"Coarse sand"||"80860467"|"82286443"
"Fine sandy loam"||"80858174"|"82284143"
"Loam"||"80858417"|"82284386"
"Loamy fine sand"||"80861306"|"82287285"
"Silt loam"||"80859591"|"82285565"
"Loam"||"80924254"|"82351589"
"Fine sandy loam"||"80858460"|"82284429"
"Loam"||"80860415"|"82286391"
"Loam"||"80855693"|"82281653"
"Fine sandy loam"||"80861668"|"82287648"
"Silt loam"||"80856654"|"82282616"
"Silt loam"||"80856569"|"82282530"
"Loam"||"80856897"|"82282860"
"Fine sandy loam"||"80923681"|"82351016"
"Fine sandy loam"||"80857070"|"82283034"
"Fine sandy loam"||"80855651"|"82281611"
"Silt loam"||"80860352"|"82286328"
"Sandy loam"||"80922842"|"82350171"
"Coarse sandy loam"||"80857909"|"82283878"
"Clay loam"||"80859737"|"82285711"
"Fine sandy loam"||"80856782"|"82282745"
"Loam"||"80861040"|"82287017"
"Fine sandy loam"||"80858682"|"82284651"
"Coarse sandy loam"||"80856094"|"82282054"
"Silty clay loam"||"80858017"|"82283986"
"Sandy loam"||"80856168"|"82282129"
"Sandy loam"||"80856933"|"82282897"
"Coarse sand"||"80923367"|"82350699"
"Silt loam"||"80856413"|"82282374"
"Fine sandy loam"||"80924058"|"82351393"
"Sand"||"80859336"|"82285309"
"Silt loam"||"80859050"|"82285019"
"Loamy fine sand"||"80858748"|"82284717"
"Sandy loam"||"80856730"|"82282693"
"Fine sandy loam"||"80860717"|"82286693"
"Fine sandy loam"||"80855833"|"82281793"
"Silt loam"||"80857931"|"82283900"
"Fine sandy loam"||"80923696"|"82351031"
"Silt loam"||"80861814"|"82287794"
"Very fine sandy loam"||"80922794"|"82350123"
"Fine sandy loam"||"80860212"|"82286187"
"Silt loam"||"80856540"|"82282501"
"Silt loam"||"80856656"|"82282619"
"Sand"||"80859925"|"82285900"
"Silt loam"||"80860029"|"82286004"
"Sand"||"80859646"|"82285620"
"Fine sandy loam"||"80858486"|"82284455"
"Silt loam"||"80855237"|"82281197"
"Very fine sandy loam"||"80859832"|"82285807"
"Very fine sandy loam"||"80859488"|"82285462"
"Fine sandy loam"||"80856350"|"82282311"
"Loamy sand"||"80857621"|"82283589"
"Silt loam"||"80924217"|"82351552"
"Silt loam"||"80857968"|"82283937"
"Silty clay loam"||"80855377"|"82281337"
"Loamy fine sand"||"80920851"|"82348130"
"Coarse sand"||"80920851"|"82348131"
"Sand"||"80859315"|"82285287"
"Loamy sand"||"80859315"|"82285288"
"Loamy sand"||"80859269"|"82285240"
"Loamy sand"||"80860613"|"82286589"
"Coarse sand"||"80854915"|"82280873"
"Loamy fine sand"||"80854994"|"82280953"
"Loamy fine sand"||"80859125"|"82285095"
"Sandy loam"||"80860686"|"82286662"
"Coarse sand"||"80859926"|"82285901"
"Sandy loam"||"80861019"|"82286996"
"Silt loam"||"80855432"|"82281392"
"Silt loam"||"80924196"|"82351531"
"Silt loam"||"80857173"|"82283137"
"Coarse sand"||"80857600"|"82283568"
"Loam"||"80860084"|"82286059"
"Loamy sand"||"80860485"|"82286461"
"Silt loam"||"80861446"|"82287426"
"Loam"||"80855463"|"82281423"
|"Unweathered bedrock"|"80858393"|"82284362"
"Fine sandy loam"||"80855020"|"82280979"
"Silt loam"||"80857574"|"82283542"
"Silt loam"||"80856529"|"82282490"
"Sandy loam"||"80861203"|"82287181"
"Loamy fine sand"||"80855067"|"82281026"
"Loam"||"80857384"|"82283351"
"Silt loam"||"80860154"|"82286129"
"Fine sandy loam"||"80860655"|"82286631"
"Loam"||"80923419"|"82350751"
"Silt loam"||"80855682"|"82281642"
"Fine sandy loam"||"80858575"|"82284544"
"Silt loam"||"80859440"|"82285414"
"Silt loam"||"80855548"|"82281508"
"Silty clay"||"80859915"|"82285890"
"Silt loam"||"80861435"|"82287415"
"Fine sand"||"80857530"|"82283498"
"Sandy loam"||"80923415"|"82350747"
"Sandy loam"||"80858236"|"82284205"
"Loam"||"80924259"|"82351594"
"Sandy loam"||"80857806"|"82283774"
"Silt loam"||"80860145"|"82286120"
"Loamy fine sand"||"80861191"|"82287169"
"Coarse sand"||"80856131"|"82282092"
"Silt loam"||"80859977"|"82285952"
"Silt loam"||"80856516"|"82282477"
"Sandy loam"||"80859061"|"82285030"
"Silt loam"||"80855296"|"82281256"
"Coarse sand"||"80858038"|"82284007"
"Fine sand"||"80861350"|"82287330"
"Very fine sandy loam"||"80861594"|"82287574"
"Sandy loam"||"80854968"|"82280926"
"Silty clay"||"80860364"|"82286340"
"Silt loam"||"80859990"|"82285965"
"Fine sandy loam"||"80923626"|"82350961"
"Sandy loam"||"80860708"|"82286684"
|"Unweathered bedrock"|"80861749"|"82287729"
"Fine sandy loam"||"80857835"|"82283803"
"Loam"||"80859613"|"82285587"
"Loamy coarse sand"||"80920909"|"82348190"
"Silty clay"||"80859853"|"82285828"
"Fine sandy loam"||"80860803"|"82286780"
"Loam"||"80858935"|"82284904"
"Sand"||"80857360"|"82283326"
"Silt loam"||"80860279"|"82286255"
"Silt loam"||"80861478"|"82287458"
"Silt loam"||"80857288"|"82283252"
"Fine sandy loam"||"80856632"|"82282594"
|"Muck"|"80859683"|"82285657"
"Silt loam"||"80858844"|"82284813"
"Silt loam"||"80861836"|"82287816"
"Silt loam"||"80857103"|"82283067"
"Fine sandy loam"||"80860790"|"82286766"
"Fine sandy loam"||"80858382"|"82284351"
"Sandy loam"||"80855791"|"82281751"
"Sand"||"80861192"|"82287170"
"Loamy fine sand"||"80922898"|"82350227"
"Fine sandy loam"||"80923378"|"82350710"
"Fine sandy loam"||"80860644"|"82286620"
"Fine sandy loam"||"80858497"|"82284466"
"Loamy sand"||"80856253"|"82282214"
"Very fine sandy loam"||"80855031"|"82280990"
"Very fine sand"||"80922831"|"82350160"
"Coarse sand"||"80856102"|"82282062"
"Clay"||"80858048"|"82284017"
"Loamy sand"||"80924003"|"82351338"
|"Muck"|"80857506"|"82283474"
"Sandy loam"||"80858476"|"82284445"
"Loam"||"80859419"|"82285393"
"Sandy loam"||"80858831"|"82284800"
"Fine sandy loam"||"80856788"|"82282751"
"Silt loam"||"80856503"|"82282464"
"Silt loam"||"80855901"|"82281861"
"Fine sandy loam"||"80855109"|"82281068"
"Fine sandy loam"||"80856313"|"82282274"
"Loam"||"80861641"|"82287621"
"Silt loam"||"80855353"|"82281313"
"Loam"||"80857024"|"82282988"
"Silt loam"||"80924253"|"82351588"
"Silt loam"||"80859534"|"82285508"
"Fine sand"||"80857355"|"82283321"
"Loam"||"80856667"|"82282630"
"Silt loam"||"80855721"|"82281681"
"Loamy fine sand"||"80855147"|"82281106"
"Sandy loam"||"80856839"|"82282802"
"Silty clay"||"80858244"|"82284213"
"Sandy loam"||"80860868"|"82286845"
