"Gravelly"|"82280874"|"22347328"
"Very gravelly"|"82280878"|"22347329"
"Extremely gravelly"|"82280881"|"22347332"
"Extremely gravelly"|"82280884"|"22347335"
"Very gravelly"|"82280888"|"22347337"
"Very gravelly"|"82280889"|"22347338"
"Very gravelly"|"82280894"|"22347343"
"Gravelly"|"82280904"|"22347344"
"Gravelly"|"82280907"|"22347346"
"Gravelly"|"82280911"|"22347348"
"Gravelly"|"82280921"|"22347349"
"Gravelly"|"82280926"|"22347350"
"Very gravelly"|"82280929"|"22347353"
"Cobbly"|"82280932"|"22347356"
"Extremely gravelly"|"82280935"|"22347359"
"Very gravelly"|"82280948"|"22347360"
"Gravelly"|"82280949"|"22347361"
"Very gravelly"|"82280952"|"22347364"
"Cobbly"|"82280955"|"22347367"
"Extremely gravelly"|"82280958"|"22347370"
"Mucky"|"82280980"|"22347371"
"Gravelly"|"82280986"|"22347373"
"Gravelly"|"82281002"|"22347374"
"Gravelly"|"82281006"|"22347375"
"Gravelly"|"82281009"|"22347376"
"Gravelly"|"82281022"|"22347377"
"Gravelly"|"82281032"|"22347378"
"Mucky"|"82281036"|"22347379"
"Very gravelly"|"82281041"|"22347380"
"Gravelly"|"82281050"|"22347382"
"Very gravelly"|"82281053"|"22347385"
"Gravelly"|"82281054"|"22347386"
"Extremely gravelly"|"82281059"|"22347391"
"Very gravelly"|"82281083"|"22347392"
"Gravelly"|"82281084"|"22347393"
"Very gravelly"|"82281086"|"22347395"
"Very gravelly"|"82281088"|"22347396"
"Very gravelly"|"82281093"|"22347401"
"Gravelly"|"82281094"|"22347402"
"Gravelly"|"82281095"|"22347403"
"Gravelly"|"82281098"|"22347405"
"Gravelly"|"82281100"|"22347406"
"Gravelly"|"82281101"|"22347407"
"Very gravelly"|"82281106"|"22347411"
"Very gravelly"|"82281109"|"22347414"
"Very gravelly"|"82281119"|"22347415"
"Gravelly"|"82281120"|"22347416"
"Very gravelly"|"82281122"|"22347418"
"Gravelly"|"82281125"|"22347420"
"Extremely gravelly"|"82281127"|"22347421"
"Gravelly"|"82281134"|"22347422"
"Gravelly"|"82281136"|"22347423"
"Gravelly"|"82281139"|"22347425"
"Gravelly"|"82281143"|"22347427"
"Gravelly"|"82281146"|"22347429"
"Channery"|"82281147"|"22347430"
"Very channery"|"82281149"|"22347432"
"Gravelly"|"82281161"|"22347433"
"Very gravelly"|"82281163"|"22347435"
"Gravelly"|"82281166"|"22347437"
"Extremely gravelly"|"82281168"|"22347438"
"Gravelly"|"82281172"|"22347440"
"Gravelly"|"82281175"|"22347442"
"Gravelly"|"82281176"|"22347443"
"Gravelly"|"82281179"|"22347446"
"Gravelly"|"82281181"|"22347448"
"Gravelly"|"82281182"|"22347449"
"Very gravelly"|"82281184"|"22347451"
"Very gravelly"|"82281188"|"22347454"
"Very gravelly"|"82281191"|"22347457"
"Gravelly"|"82281192"|"22347458"
"Gravelly"|"82281194"|"22347460"
"Gravelly"|"82281197"|"22347462"
"Gravelly"|"82281200"|"22347463"
"Gravelly"|"82281204"|"22347466"
"Gravelly"|"82281207"|"22347468"
"Mucky"|"82281209"|"22347469"
"Very gravelly"|"82281225"|"22347470"
"Very gravelly"|"82281235"|"22347471"
"Gravelly"|"82281236"|"22347472"
"Very gravelly"|"82281238"|"22347474"
"Gravelly"|"82281241"|"22347476"
"Extremely gravelly"|"82281243"|"22347477"
"Gravelly"|"82281247"|"22347478"
"Gravelly"|"82281249"|"22347479"
"Gravelly"|"82281251"|"22347480"
"Gravelly"|"82281255"|"22347481"
"Gravelly"|"82281258"|"22347483"
"Channery"|"82281263"|"22347485"
"Channery"|"82281266"|"22347487"
"Channery"|"82281270"|"22347489"
"Channery"|"82281273"|"22347491"
"Gravelly"|"82281277"|"22347493"
"Gravelly"|"82281280"|"22347495"
"Gravelly"|"82281284"|"22347496"
"Gravelly"|"82281286"|"22347497"
"Gravelly"|"82281288"|"22347498"
"Gravelly"|"82281294"|"22347500"
"Gravelly"|"82281296"|"22347502"
"Gravelly"|"82281301"|"22347504"
"Gravelly"|"82281304"|"22347506"
"Gravelly"|"82281307"|"22347507"
"Gravelly"|"82281310"|"22347509"
"Gravelly"|"82281314"|"22347511"
"Gravelly"|"82281316"|"22347513"
"Channery"|"82281321"|"22347515"
"Channery"|"82281324"|"22347517"
"Channery"|"82281327"|"22347518"
"Channery"|"82281330"|"22347519"
"Gravelly"|"82281339"|"22347520"
"Gravelly"|"82281342"|"22347522"
"Gravelly"|"82281370"|"22347524"
"Gravelly"|"82281373"|"22347526"
"Gravelly"|"82281391"|"22347527"
"Gravelly"|"82281394"|"22347528"
