"Year","Credit Type","Credits"
2024,"Removal",151.821091981835
2024,"Conservation",482.023762892444
2025,"Removal",159.668032990581
2025,"Conservation",482.023762892445
2026,"Removal",159.252735277027
2026,"Conservation",482.023762892446
2027,"Removal",159.252735277027
2027,"Conservation",482.023762892444
2028,"Removal",159.252735277028
2028,"Conservation",482.023762892445
2029,"Removal",159.252735277026
2029,"Conservation",372.324706824177
2030,"Removal",159.252735277027
2030,"Conservation",304.369832780056
2031,"Removal",159.252735277027
2031,"Conservation",0
2032,"Removal",159.252735277027
2032,"Conservation",0
2033,"Removal",159.252735277026
2033,"Conservation",0
